"time","model.root.$wallTime","model.root.fmu.$wallTime","system.fmu.time","system.fmu.x","system.fmu.der(x)","system.fmu.k"
0.362, 0.001305418, 9.6757e-05, 0.3, 0.729, -0.729, 1
0.363, 0.001308958, 9.7017e-05, 0.3, 0.729, -0.729, 1
0.364, 0.001312508, 9.7277e-05, 0.3, 0.729, -0.729, 1
0.365, 0.001316008, 9.7527e-05, 0.3, 0.729, -0.729, 1
0.366, 0.001319568, 9.7777e-05, 0.3, 0.729, -0.729, 1
0.367, 0.001323108, 9.8037e-05, 0.3, 0.729, -0.729, 1
0.368, 0.001326618, 9.8297e-05, 0.3, 0.729, -0.729, 1
0.369, 0.001330018, 9.8558e-05, 0.3, 0.729, -0.729, 1
0.37, 0.001333538, 9.8819e-05, 0.3, 0.729, -0.729, 1
0.371, 0.001336989, 9.9079e-05, 0.3, 0.729, -0.729, 1
0.372, 0.001340448, 9.9337e-05, 0.3, 0.729, -0.729, 1
0.373, 0.001343928, 9.9588e-05, 0.3, 0.729, -0.729, 1
